Nama Ikan,Jenis Pakan,PH Air,Suhu Air (C)
Tawes,Pelet B2,29,7
Patin,"Ikan Kecil, Udang Kecil, Biji-bijian, Cacing Sutra, Artemia, Kutu Air, Cacing Tanah, Dedak Padi",6-8,28C-30C
Tombro,"Cacing, Larva Serangga, Pelet Ikan",7-8,28C-30C
Bawal,"Pelet, Ampas Kelapa, Limbah Makanan Kadaluarsa, Suplemen",7-8,25C-30C
Gurame,"Pelet, Maggot, Jagung Rebus",6.5-8,25C-30C
Nila,"Pelet, Udang Rebon, Larva Serangga",6.5-7.5,26C-30C
Gabus,"Pelet, Cacing Sutra, Ikan Rucah",6-7.5,25C-30C
